home_team,away_team,home_goals,away_goals
Atlético de Madrid,Athletic Club,3,0
Barcelona,Athletic Club,2,1
R.C.D. Espanyol,Athletic Club,1,2
Fundación Albacete,Athletic Club,0,1
Granadilla,Athletic Club,3,1
Levante U.D.,Athletic Club,2,0
Logroño,Athletic Club,1,3
Madrid CFF,Athletic Club,2,0
Málaga,Athletic Club,0,2
Rayo Vallecano,Athletic Club,1,1
Real Betis,Athletic Club,0,0
Real Sociedad,Athletic Club,2,2
Sevilla F.C.,Athletic Club,1,2
Sporting Huelva,Athletic Club,0,0
Valencia,Athletic Club,0,0
Athletic Club,Atlético de Madrid,2,4
Barcelona,Atlético de Madrid,2,1
R.C.D. Espanyol,Atlético de Madrid,0,1
Fundación Albacete,Atlético de Madrid,1,4
Granadilla,Atlético de Madrid,1,2
Levante U.D.,Atlético de Madrid,0,4
Logroño,Atlético de Madrid,1,3
Madrid CFF,Atlético de Madrid,0,3
Málaga,Atlético de Madrid,0,4
Rayo Vallecano,Atlético de Madrid,0,3
Real Betis,Atlético de Madrid,1,2
Real Sociedad,Atlético de Madrid,1,3
Sevilla F.C.,Atlético de Madrid,1,3
Sporting Huelva,Atlético de Madrid,0,3
Valencia,Atlético de Madrid,0,4
Athletic Club,Barcelona,0,1
Atlético de Madrid,Barcelona,0,2
R.C.D. Espanyol,Barcelona,0,3
Fundación Albacete,Barcelona,1,6
Granadilla,Barcelona,1,0
Levante U.D.,Barcelona,0,1
Logroño,Barcelona,0,4
Madrid CFF,Barcelona,0,4
Málaga,Barcelona,0,4
Rayo Vallecano,Barcelona,0,4
Real Betis,Barcelona,0,3
Real Sociedad,Barcelona,2,5
Sevilla F.C.,Barcelona,0,2
Sporting Huelva,Barcelona,1,3
Valencia,Barcelona,0,0
Athletic Club,R.C.D. Espanyol,1,2
Atlético de Madrid,R.C.D. Espanyol,3,1
Barcelona,R.C.D. Espanyol,0,0
Fundación Albacete,R.C.D. Espanyol,3,2
Granadilla,R.C.D. Espanyol,2,1
Levante U.D.,R.C.D. Espanyol,4,0
Logroño,R.C.D. Espanyol,2,0
Madrid CFF,R.C.D. Espanyol,1,1
Málaga,R.C.D. Espanyol,2,1
Rayo Vallecano,R.C.D. Espanyol,1,5
Real Betis,R.C.D. Espanyol,2,0
Real Sociedad,R.C.D. Espanyol,0,0
Sevilla F.C.,R.C.D. Espanyol,0,1
Sporting Huelva,R.C.D. Espanyol,1,0
Valencia,R.C.D. Espanyol,3,0
Athletic Club,Fundación Albacete,2,0
Atlético de Madrid,Fundación Albacete,6,1
Barcelona,Fundación Albacete,3,1
R.C.D. Espanyol,Fundación Albacete,2,4
Granadilla,Fundación Albacete,1,0
Levante U.D.,Fundación Albacete,3,1
Logroño,Fundación Albacete,4,1
Madrid CFF,Fundación Albacete,1,1
Málaga,Fundación Albacete,4,2
Rayo Vallecano,Fundación Albacete,2,0
Real Betis,Fundación Albacete,3,0
Real Sociedad,Fundación Albacete,1,1
Sevilla F.C.,Fundación Albacete,2,4
Sporting Huelva,Fundación Albacete,0,0
Valencia,Fundación Albacete,2,2
Athletic Club,Granadilla,2,0
Atlético de Madrid,Granadilla,2,0
Barcelona,Granadilla,3,0
R.C.D. Espanyol,Granadilla,1,1
Fundación Albacete,Granadilla,1,3
Levante U.D.,Granadilla,3,2
Logroño,Granadilla,0,1
Madrid CFF,Granadilla,0,1
Málaga,Granadilla,1,3
Rayo Vallecano,Granadilla,0,2
Real Betis,Granadilla,1,2
Real Sociedad,Granadilla,1,1
Sevilla F.C.,Granadilla,0,2
Sporting Huelva,Granadilla,1,1
Valencia,Granadilla,1,2
Athletic Club,Levante U.D.,2,0
Atlético de Madrid,Levante U.D.,2,0
Barcelona,Levante U.D.,0,0
R.C.D. Espanyol,Levante U.D.,2,1
Fundación Albacete,Levante U.D.,0,1
Granadilla,Levante U.D.,0,6
Logroño,Levante U.D.,2,4
Madrid CFF,Levante U.D.,2,3
Málaga,Levante U.D.,0,1
Rayo Vallecano,Levante U.D.,0,1
Real Betis,Levante U.D.,0,0
Real Sociedad,Levante U.D.,1,2
Sevilla F.C.,Levante U.D.,1,0
Sporting Huelva,Levante U.D.,1,1
Valencia,Levante U.D.,1,3
Athletic Club,Logroño,4,3
Atlético de Madrid,Logroño,6,0
Barcelona,Logroño,2,0
R.C.D. Espanyol,Logroño,1,0
Fundación Albacete,Logroño,2,2
Granadilla,Logroño,1,0
Levante U.D.,Logroño,4,0
Madrid CFF,Logroño,4,0
Málaga,Logroño,1,1
Rayo Vallecano,Logroño,1,1
Real Betis,Logroño,3,2
Real Sociedad,Logroño,3,0
Sevilla F.C.,Logroño,3,4
Sporting Huelva,Logroño,0,2
Valencia,Logroño,2,1
Athletic Club,Madrid CFF,3,0
Atlético de Madrid,Madrid CFF,6,1
Barcelona,Madrid CFF,7,0
R.C.D. Espanyol,Madrid CFF,1,0
Fundación Albacete,Madrid CFF,3,1
Granadilla,Madrid CFF,2,3
Levante U.D.,Madrid CFF,0,1
Logroño,Madrid CFF,2,1
Málaga,Madrid CFF,2,1
Rayo Vallecano,Madrid CFF,0,1
Real Betis,Madrid CFF,3,1
Real Sociedad,Madrid CFF,3,0
Sevilla F.C.,Madrid CFF,3,0
Sporting Huelva,Madrid CFF,0,2
Valencia,Madrid CFF,5,3
Athletic Club,Málaga,0,0
Atlético de Madrid,Málaga,4,1
Barcelona,Málaga,6,0
R.C.D. Espanyol,Málaga,1,1
Fundación Albacete,Málaga,1,1
Granadilla,Málaga,1,0
Levante U.D.,Málaga,7,0
Logroño,Málaga,1,2
Madrid CFF,Málaga,1,0
Rayo Vallecano,Málaga,1,0
Real Betis,Málaga,1,1
Real Sociedad,Málaga,3,0
Sevilla F.C.,Málaga,5,0
Sporting Huelva,Málaga,2,0
Valencia,Málaga,0,0
Athletic Club,Rayo Vallecano,1,0
Atlético de Madrid,Rayo Vallecano,3,0
Barcelona,Rayo Vallecano,9,1
R.C.D. Espanyol,Rayo Vallecano,1,1
Fundación Albacete,Rayo Vallecano,2,1
Granadilla,Rayo Vallecano,2,3
Levante U.D.,Rayo Vallecano,1,0
Logroño,Rayo Vallecano,3,0
Madrid CFF,Rayo Vallecano,0,4
Málaga,Rayo Vallecano,4,2
Real Betis,Rayo Vallecano,3,1
Real Sociedad,Rayo Vallecano,2,0
Sevilla F.C.,Rayo Vallecano,2,0
Sporting Huelva,Rayo Vallecano,0,1
Valencia,Rayo Vallecano,1,2
Athletic Club,Real Betis,2,2
Atlético de Madrid,Real Betis,3,1
Barcelona,Real Betis,3,0
R.C.D. Espanyol,Real Betis,1,0
Fundación Albacete,Real Betis,2,3
Granadilla,Real Betis,1,2
Levante U.D.,Real Betis,2,1
Logroño,Real Betis,1,0
Madrid CFF,Real Betis,1,3
Málaga,Real Betis,0,3
Rayo Vallecano,Real Betis,0,0
Real Sociedad,Real Betis,1,0
Sevilla F.C.,Real Betis,2,3
Sporting Huelva,Real Betis,1,0
Valencia,Real Betis,1,4
Athletic Club,Real Sociedad,2,1
Atlético de Madrid,Real Sociedad,5,0
Barcelona,Real Sociedad,4,1
R.C.D. Espanyol,Real Sociedad,1,1
Fundación Albacete,Real Sociedad,0,1
Granadilla,Real Sociedad,2,3
Levante U.D.,Real Sociedad,1,1
Logroño,Real Sociedad,2,2
Madrid CFF,Real Sociedad,0,2
Málaga,Real Sociedad,1,3
Rayo Vallecano,Real Sociedad,2,1
Real Betis,Real Sociedad,2,1
Sevilla F.C.,Real Sociedad,0,2
Sporting Huelva,Real Sociedad,0,0
Valencia,Real Sociedad,0,4
Athletic Club,Sevilla F.C.,6,0
Atlético de Madrid,Sevilla F.C.,3,0
Barcelona,Sevilla F.C.,6,2
R.C.D. Espanyol,Sevilla F.C.,2,0
Fundación Albacete,Sevilla F.C.,1,2
Granadilla,Sevilla F.C.,2,1
Levante U.D.,Sevilla F.C.,1,0
Logroño,Sevilla F.C.,1,2
Madrid CFF,Sevilla F.C.,0,1
Málaga,Sevilla F.C.,3,1
Rayo Vallecano,Sevilla F.C.,0,1
Real Betis,Sevilla F.C.,1,1
Real Sociedad,Sevilla F.C.,2,0
Sporting Huelva,Sevilla F.C.,2,1
Valencia,Sevilla F.C.,4,1
Athletic Club,Sporting Huelva,4,0
Atlético de Madrid,Sporting Huelva,3,1
Barcelona,Sporting Huelva,2,3
R.C.D. Espanyol,Sporting Huelva,2,1
Fundación Albacete,Sporting Huelva,3,2
Granadilla,Sporting Huelva,3,1
Levante U.D.,Sporting Huelva,1,1
Logroño,Sporting Huelva,2,0
Madrid CFF,Sporting Huelva,3,1
Málaga,Sporting Huelva,1,1
Rayo Vallecano,Sporting Huelva,1,0
Real Betis,Sporting Huelva,1,0
Real Sociedad,Sporting Huelva,0,1
Sevilla F.C.,Sporting Huelva,2,1
Valencia,Sporting Huelva,6,0
Athletic Club,Valencia,2,2
Atlético de Madrid,Valencia,3,0
Barcelona,Valencia,3,0
R.C.D. Espanyol,Valencia,1,1
Fundación Albacete,Valencia,0,2
Granadilla,Valencia,3,0
Levante U.D.,Valencia,0,0
Logroño,Valencia,0,0
Madrid CFF,Valencia,1,1
Málaga,Valencia,1,4
Rayo Vallecano,Valencia,1,1
Real Betis,Valencia,4,0
Real Sociedad,Valencia,6,0
Sevilla F.C.,Valencia,2,2
Sporting Huelva,Valencia,0,2
